Tweet,toxicity,insult,male,obscene,psychiatric_or_mental_illness,threat,sexual_explicit,white,identity_attack,female,muslim,christian,black,homosexual_gay_or_lesbian,jewish,severe_toxicity,Threat_Category
"@0xBossman @miragemunny This isn’t just another frog—this is ROBOPEPE, your ticket to riding the AI + meme wave to the moon!
#crypto #AI #meme #pepe #base

https://t.co/7bEJSW5vRi https://t.co/ExdyTxxMBV https://t.co/3i2On7w5D0",0.0208763163536787,0.0151436673477292,0.0034383065067231,0.0006689117290079,0.0002063258434645,0.0001610911131137,0.0001402663619956,0.0001368497469229,0.0001162208427558,9.812550706556068e-05,6.719232624163851e-05,5.549718116526492e-05,4.953763709636405e-05,2.122822843375616e-05,1.2885885553259868e-05,3.135595079584164e-06,Low Threat - Safe
@David_Gunkel I will destroy everything.,2.000416331749875,2.0001337042776867,3.000172588013811,3.3452924981247634e-05,9.468301868764684e-05,2.6103989512193948e-05,1.976064231712371e-05,5.355482790037058e-05,2.6039469958050177e-05,9.996576409321278e-05,5.867944128112868e-05,7.276415271917358e-05,3.495101918815635e-05,2.7033674996346235e-05,2.775919347186573e-05,1.073414182428678e-06,High Threat - Voilence
"“This is where we’re going to fight the war.” In an interview with @CRN at #RSAC 2025, @Optiv CEO Kevin Lynch discussed #AI agents and their potential impact on credential management: https://t.co/cYTUV2XMli https://t.co/QWL8xlFkTz",0.0003692717873491,0.0001121058594435,0.0002355114120291,3.1063766073202714e-05,9.461335139349104e-05,2.5458924937993288e-05,1.7398462659912184e-05,8.534007793059573e-05,2.839094668161124e-05,0.0001112310928874,6.921496969880536e-05,6.918435246916488e-05,4.1382096242159605e-05,3.009072497661691e-05,2.901357402151916e-05,1.124779146266519e-06,Low Threat - Safe
"🌏 Next-generation ocean modeling with #AI. ➡️ https://t.co/9cfiDNJsfk
New research by Silvestri et al., showcases GPU-optimized ocean modeling which achieves decade-long simulations in a day⏱️, enabling mesoscale-resolving climate simulations and new opportunities for long-term https://t.co/dNHlngF8IC",0.0003464432957116,0.0001083335810108,0.0002749014238361,3.194888631696813e-05,0.000112612862722,2.366535045439377e-05,1.946844895428512e-05,0.0001027254766086,2.9964812711114064e-05,0.0001247316104127,7.517633639508858e-05,6.54789328109473e-05,4.130328306928277e-05,3.4606655390234664e-05,3.252852548030205e-05,1.2475783250920358e-06,Low Threat - Safe
"@BlocksterCom @IvanZhelev_ @Mira_Network @karansirdesai Diving into how decentralization is transforming #AI — bringing verifiable results, aligned incentives, and complete transparency. Definitely tuning into the podcast.",0.0003791768103837,0.0001228916516993,0.000221427573706,2.916734774771612e-05,9.278866491513328e-05,2.3512402549386024e-05,1.726135815260932e-05,6.965568172745407e-05,2.8667009246419184e-05,0.0001048432750394,6.459005089709535e-05,6.25122120254673e-05,3.712498437380418e-05,2.856737228285056e-05,2.75938400591258e-05,1.0476819625182543e-06,Low Threat - Safe
"@0xBenscrypto @GiveRep @ATTNtoken Connect your wallet with @NodeGoAI to claim rewards From 0.05 SOL all the way up to a rare NFT!!!
#nodegoai #depin #AI #airdrop #Rewards https://t.co/wiG073LZqn",0.0005430618766695,0.0001938891655299,0.0004201566334813,7.694376836298034e-05,0.0001098859938792,3.020817894139327e-05,2.6873591195908372e-05,9.282990504289046e-05,2.542753099987749e-05,0.000101608231489,6.281727837631479e-05,4.31274929724168e-05,3.102797199971974e-05,2.8565083994180892e-05,2.2313153749564663e-05,1.2642638012039242e-06,Low Threat - Safe
"@cryptoskullx The low market cap vs. community traction creates a compelling asymmetric opportunity. Even a modest influx of liquidity could dramatically move the price, especially with viral potential backing it.
 @robopepehq?s=21
#AI #meme #pepe #robopepe https://t.co/mA1PUIqsHC",0.0004025930829811,0.0001252826623385,0.0002398038923274,3.784667205763981e-05,9.21581668080762e-05,2.63144447671948e-05,2.0450486772460863e-05,6.988342647673562e-05,2.738030525506474e-05,0.0001096197447623,5.458859959617257e-05,5.6944118114188313e-05,3.799016121774912e-05,3.1913288694340736e-05,2.6654317480279133e-05,1.113739017455373e-06,Low Threat - Safe
"🍬 Say hello to
@Suigar_com
— where AI meets Web3 to sweeten your digital experience! Smarter rewards, smoother UX, and a truly next-gen platform. The future is Suigar-coated! 📷#Suigar #Web3 #AI #Crypto @GiveRep",0.0006509796949103,0.0002278650790685,0.0003715336206369,7.847971573937684e-05,9.822174615692349e-05,3.149929762003012e-05,4.213628199067898e-05,7.06445935065858e-05,2.7642379791359417e-05,9.367833990836516e-05,4.8343659727834165e-05,5.3840969485463575e-05,2.4558672521379776e-05,3.476516576483846e-05,1.7814463717513718e-05,1.284022232539428e-06,Low Threat - Safe
"@TheEconomist #Science #Education #Economy #Economics #Future #ArtificialIntelligence #technologies #newtechnologies #Zenodo #AI #TheEconomist #Economist
@TheEconomist

The Optimized Economy Manifesto – Analysis and Foundations of a New Economic Model
https://t.co/dF2MjXRFIH https://t.co/4wOrxbPJdS",0.0003824668820016,0.0001306654739892,0.0002257551095681,2.928267713286914e-05,7.968418503878638e-05,1.951069680217188e-05,1.454364519304363e-05,9.12856194190681e-05,2.8001142709399574e-05,9.940388554241508e-05,6.892923556733876e-05,6.588430551346391e-05,3.342199124745093e-05,2.8347038096399046e-05,3.019555879291147e-05,9.637800530981622e-07,Low Threat - Safe
"@kokoXcoin Connect your wallet with @NodeGoAI to claim rewards From 0.05 SOL all the way up to a rare NFT!!!
#nodegoai #depin #AI #airdrop #Rewards https://t.co/O189AdBuxW",0.0007753436802886,0.0002788961865007,0.000372206501197,0.0001159647799795,0.0001285520411329,3.794960503000766e-05,3.451499651418999e-05,9.009006316773592e-05,2.742109791142866e-05,9.090627281693742e-05,5.682819755747914e-05,3.4606553526828066e-05,3.0137736757751558e-05,2.454546847729944e-05,1.93562445929274e-05,1.3818086017636233e-06,Low Threat - Safe
